ID;label;latitude;longitude;speakersLog;color;r;cy;cx;;;countrycodes;family;genus;Name;speakers
ako;Arabic;35.25;33.5;5;#00cc00;88,194447;-384,92026;-362,13428;;;CY;Afro-Asiatic;Semitic;Arabic (Kormakiti);140
mlt;Maltese;35.92;14.42;13;#32b400;22,930555;-421,47708;-347,59259;;;MT;Afro-Asiatic;Semitic;Maltese;520000
cri;Crimean;45;34.08;13;#ff7700;22,930555;-164,54105;-275,20972;;;UZ;Altaic;Turkic;Crimean Tatar;480000
gag;Gagauz;46.33;28.67;12;#ef770d;21,166666;-72,10569;-288,36761;;;MD;Altaic;Turkic;Gagauz;140000
krm;Karaim;54.67;24.92;4;#ff8000;70,555553;-137,05484;-242,27295;;;LT UA;Altaic;Turkic;Karaim;80
kym;Krymchak;45;34.25;5;#f0800f;88,194447;-120,41135;-275,83081;;;UA;Altaic;Turkic;Krymchak;200
tur;Turkish;39;35;18;#f1680c;31,750000;-120,77979;-326,25183;;;TR;Altaic;Turkic;Turkish;78500000
urm;Urum;47.12;37.55;12;#ff6600;21,166666;-103,02024;-244,58868;;;GE UA;Altaic;Turkic;Urum;190000
bsq;Basque;43;-3;14;#fa0000;24,694445;-496,40051;-269,26688;;;ES FR;Basque;Basque;Basque;751500
alb;Albanian;41;20;16;#7e00b3;28,222219;-424,28949;73,29744;;;AL RS;Indo-European;Albanian;Albanian;5400000
lat;Latvian;57;24;14;#30fcb8;24,694445;-484,56619;263,02432;;;LV;Indo-European;Baltic;Latvian;1750000
lit;Lithuanian;55;24;15;#47edb6;26,458334;-509,26944;208,70135;;;LT;Indo-European;Baltic;Lithuanian;3100000
bre;Breton;48;-3;12;#36eaf3;21,166666;515,39575;-305,11642;;;FR;Indo-European;Celtic;Breton;226000
crn;Cornish;50.33;-5;6;#2ffdfd;10,583333;55,31731;-299,98575;;;GB;Indo-European;Celtic;Cornish;557
gae;Irish;57;-4;11;#36efef;19,402779;503,94714;-253,83975;;;GB;Indo-European;Celtic;Gaelic (Scots);57000
iri;Manx;53;-8;11;#2ff3fd;12,347222;538,13629;-268,98941;;;IE;Indo-European;Celtic;Irish;77970
mnx;Welsh;54.17;-4.5;7;#40dfed;22,930555;579,64392;-26,55997;;;GB;Indo-European;Celtic;Manx;1800
wel;Gaelic (Scots);52;-3;13;#2fecfd;19,402779;542,41125;-229,21411;;;GB;Indo-European;Celtic;Welsh;700000
alt;Alsatian;48.5;07. Mai;14;#05389e;24,694445;-150,23291;311,45086;;;FR;Indo-European;Germanic;Alsatian;900000
dsh;Danish;56;10;16;#094ead;28,222219;-15,45555;-90,73081;;;DK;Indo-European;Germanic;Danish;5500000
dut;Dutch;52.5;6;17;#084ead;29,986115;-130,27414;-164,83197;;;NL;Indo-European;Germanic;Dutch;22000000
eng;English;52;0;20;#003fbc;35,277779;-77,46875;-18,04241;;;GB IE;Indo-European;Germanic;English;400000000
far;Faroese;62;-7;11;#0024bc;19,402779;-211,92941;185,63852;;;DK;Indo-European;Germanic;Faroese;66000
fri;Frisian;53;5;13;#083da6;22,930555;-185,78801;-125,31561;;;NL DE;Indo-European;Germanic;Frisian;480000
ger;German;52;10;18;#0b4ba3;31,750000;-319,74218;-993,75725;;;AT DE CH;Indo-European;Germanic;German;95000000
ice;Icelandic;65;-17;13;#1241b3;22,930555;-161,50664;734,73274;;;IS;Indo-European;Germanic;Icelandic;358000
lge;Low German;53;10;16;#0a40ab;28,222219;-127,89153;-729,51836;;;DE;Indo-European;Germanic;Low German;6700000
lux;Luxemburgeois;49.83;Jun 17;13;#004fbc;22,930555;-606,61205;-164,46747;;;LU;Indo-European;Germanic;Luxemburgeois;390000
nor;Norwegian;61;8;15;#0c2db4;26,458334;-106,28397;11,36795;;;NO;Indo-European;Germanic;Norwegian;5200000
swe;Swedish;60;15;16;#0221a2;28,222219;-210,06935;-588,91319;;;SE FI;Indo-European;Germanic;Swedish;9600000
ydd;Yiddish;52;23;14;#0432a4;24,694445;-423,84319;-387,33025;;;LT PL DE BY UA;Indo-European;Germanic;Yiddish;1000000
ydb;Yiddish (Bessarabian);47;28. Mai;12;#122fab;21,166666;-906,42456;-114,37566;;;MD;Indo-European;Germanic;Yiddish (Bessarabian);200000
ylt;Yiddish (Lithuanian);55;25;12;#103aa2;21,166666;-414,46037;893,76381;;;LT;Indo-European;Germanic;Yiddish (Lithuanian);200000
ydl;Yiddish (Lodz);51.75;19.42;12;#0036bc;21,166666;-942,76329;551,70139;;;PL;Indo-European;Germanic;Yiddish (Lodz);200000
gcy;Greek (Cypriot);34.75;33;13;#30fd85;22,930555;-545,09167;-169,66112;;;CY;Indo-European;Greek;Greek (Cypriot);700000
grk;Greek (Modern);39;22;16;#2ef480;28,222219;-566,30627;-113,99967;;;GR;Indo-European;Greek;Greek (Modern);13400000
rav;Romani (Ajia Varvara);38;23.58;10;#0079c0;17,638889;-525,54504;867,61925;;;GR;Indo-European;Indic;Romani (Ajia Varvara);20000
rbu;Romani (Burgudzi);42.67;21.17;10;#0871af;17,638889;-497,62604;573,01167;;;RS;Indo-European;Indic;Romani (Bugurdzi);20000
rbg;Romani (Burgenland);47.5;16. Mai;10;#0070c0;17,638889;-567,42334;922,22649;;;AT;Indo-European;Indic;Romani (Burgenland);20000
