wals_code,y,x,bubblex,bubbley,color,speakers,countrycodes,family,Genus_CAPS,Name,coords
ako,35.25,33.5,265,673,#00cc00,140,CY,Afro-Asiatic,Semitic,Arabic (Kormakiti),"33.5, 35.25"
mlt,35.92,14.42,250,689,#32b400,520000,MT,Afro-Asiatic,Semitic,Maltese,"14.42, 35.92"
cri,45,34.08,314,609,#ff7700,480000,UZ,Altaic,Turkic,Crimean Tatar,"34.08, 45"
gag,46.33,28.67,340,603,#ef770d,140000,MD,Altaic,Turkic,Gagauz,"28.67, 46.33"
krm,54.67,24.92,346,586,#ff8000,80,LT UA,Altaic,Turkic,Karaim,"24.92, 54.67"
kym,45,34.25,297,570,#f0800f,200,UA,Altaic,Turkic,Krymchak,"34.25, 45"
tur,39,35,322,578,#f1680c,78500000,TR,Altaic,Turkic,Turkish,"35, 39"
urm,47.12,37.55,292,590,#ff6600,190000,GE UA,Altaic,Turkic,Urum,"37.55, 47.12"
bsq,43,-3,189,547,#fa0000,751500,ES FR,Basque,Basque,Basque,"-3, 43"
alb,41,20,345,390,#7e00b3,5400000,AL RS,Indo-European,Albanian,Albanian,"20, 41"
lat,57,24,482,256,#30fcb8,1750000,LV,Indo-European,Baltic,Latvian,"24, 57"
lit,55,24,467,229,#47edb6,3100000,LT,Indo-European,Baltic,Lithuanian,"24, 55"
bre,48,-3,231,271,#36eaf3,226000,FR,Indo-European,Celtic,Breton,"-3, 48"
crn,50.33,-5,249,264,#2ffdfd,557,GB,Indo-European,Celtic,Cornish,"-5, 50.33"
gae,57,-4,237,248,#36efef,57000,GB,Indo-European,Celtic,Gaelic (Scots),"-4, 57"
iri,53,-8,260,247,#2ff3fd,77970,IE,Indo-European,Celtic,Irish,"-8, 53"
mnx,54.17,-4.5,272,264,#40dfed,1800,GB,Indo-European,Celtic,Manx,"-4.5, 54.17"
wel,52,-3,258,282,#2fecfd,700000,GB,Indo-European,Celtic,Welsh,"-3, 52"
alt,48.5,7.5,378,437,#05389e,900000,FR,Indo-European,Germanic,Alsatian,"7.5, 48.5"
dsh,56,10,448,464,#094ead,5500000,DK,Indo-European,Germanic,Danish,"10, 56"
dut,52.5,6,443,402,#084ead,22000000,NL,Indo-European,Germanic,Dutch,"6, 52.5"
eng,52,0,483,401,#003fbc,400000000,GB IE,Indo-European,Germanic,English,"0, 52"
far,62,-7,466,487,#0024bc,66000,DK,Indo-European,Germanic,Faroese,"-7, 62"
fri,53,5,433,435,#083da6,480000,NL DE,Indo-European,Germanic,Frisian,"5, 53"
ger,52,10,408,455,#0b4ba3,95000000,AT DE CH,Indo-European,Germanic,German,"10, 52"
ice,65,-17,480,463,#1241b3,358000,IS,Indo-European,Germanic,Icelandic,"-17, 65"
lge,53,10,408,415,#0a40ab,6700000,DE,Indo-European,Germanic,Low German,"10, 53"
lux,49.83,6.17,351,471,#004fbc,390000,LU,Indo-European,Germanic,Luxemburgeois,"6.17, 49.83"
nor,61,8,497,435,#0c2db4,5200000,NO,Indo-European,Germanic,Norwegian,"8, 61"
swe,60,15,465,433,#0221a2,9600000,SE FI,Indo-European,Germanic,Swedish,"15, 60"
ydd,47,28.5,377,471,#122fab,200000,MD,Indo-European,Germanic,Yiddish (Bessarabian),"28.5, 47"
ydb,52,23,368,499,#0432a4,1000000,LT PL DE BY UA,Indo-European,Germanic,Yiddish,"23, 52"
ylt,51.75,19.42,425,486,#0036bc,200000,PL,Indo-European,Germanic,Yiddish (Lodz),"19.42, 51.75"
ydl,55,25,398,491,#103aa2,200000,LT,Indo-European,Germanic,Yiddish (Lithuanian),"25, 55"
gcy,34.75,33,312,228,#30fd85,700000,CY,Indo-European,Greek,Greek (Cypriot),"33, 34.75"
grk,39,22,340,216,#2ef480,13400000,GR,Indo-European,Greek,Greek (Modern),"22, 39"
rav,38,23.58,512,326,#0079c0,20000,GR,Indo-European,Indic,Romani (Ajia Varvara),"23.58, 38"
rbu,47.5,16.5,518,301,#0070c0,20000,AT,Indo-European,Indic,Romani (Burgenland),"16.5, 47.5"
rbg,42.67,21.17,477,355,#0871af,20000,RS,Indo-European,Indic,Romani (Bugurdzi),"21.17, 42.67"
rka,45,21,505,353,#095d9c,20000,RS,Indo-European,Indic,Romani (Kalderash),"21, 45"
rlo,47,21.5,524,342,#076eb1,20000,RO HU,Indo-European,Indic,Romani (Lovari),"21.5, 47"
rnr,60,38,493,308,#1365a3,20000,RU,Indo-European,Indic,Romani (North Russian),"38, 60"
rse,38.25,27,535,323,#0074c0,20000,TR,Indo-European,Indic,Romani (Sepecides),"27, 38.25"
rwe,52,-4,492,334,#0f6cb3,20000,GB,Indo-European,Indic,Romani (Welsh),"-4, 52"
ast,43.25,-6,195,341,#07207c,351791,ES,Indo-European,Romance,Asturian,"-6, 43.25"
ctl,41.75,2,255,326,#1d066f,4100000,ES,Indo-European,Romance,Catalan,"2, 41.75"
